车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival,train
C2848,动车,新郑机场,10:30,郑州东,当天10:47,10:47,郑州东,10:47,17,647,
C2850,动车,新郑机场,12:00,郑州东,当天12:17,12:17,郑州东,12:17,17,737,
C2852,动车,新郑机场,13:30,郑州东,当天13:47,13:47,郑州东,13:47,17,827,
C2854,动车,新郑机场,15:00,郑州东,当天15:17,15:17,郑州东,15:17,17,917,
C2856,动车,新郑机场,16:30,郑州东,当天16:47,16:47,郑州东,16:47,17,1007,
C2858,动车,新郑机场,18:00,郑州东,当天18:17,18:17,郑州东,18:17,17,1097,
C2860,动车,新郑机场,19:30,郑州东,当天19:47,19:47,郑州东,19:47,17,1187,
C2862,动车,新郑机场,22:30,郑州东,当天22:47,22:47,郑州东,22:47,17,1367,
C2874,动车,新郑机场,8:00,郑州东,当天08:17,8:17,郑州东,8:17,17,497,
C2878,动车,新郑机场,11:00,郑州东,当天11:17,11:17,郑州东,11:17,17,677,
C2880,动车,新郑机场,12:30,郑州东,当天12:47,12:47,郑州东,12:47,17,767,
C2882,动车,新郑机场,14:00,郑州东,当天14:17,14:17,郑州东,14:17,17,857,
C2886,动车,新郑机场,17:10,郑州东,当天17:27,17:27,郑州东,17:27,17,1047,
C2888,动车,新郑机场,18:30,郑州东,当天18:47,18:47,郑州东,18:47,17,1127,
C2890,动车,新郑机场,21:30,郑州东,当天21:47,21:47,郑州东,21:47,17,1307,
C2892,动车,新郑机场,22:50,郑州东,当天23:07,23:07,郑州东,23:07,17,1387,
C2991,动车,焦作,20:24,郑州东,当天21:24,21:24,郑州东,21:24,60,1284,
G1262,高速,齐齐哈尔南,9:20,郑州东,当天22:10,22:10,郑州东,22:10,770,1330,
G1263,高速,齐齐哈尔南,9:20,郑州东,当天22:10,22:10,郑州东,22:10,770,1330,
G1285,高速,沈阳北,14:46,郑州东,当天22:49,22:49,郑州东,22:49,483,1369,
G1288,高速,沈阳北,14:46,郑州东,当天22:49,22:49,郑州东,22:49,483,1369,
G1536,高速,玉溪,10:50,郑州东,当天21:33,21:33,郑州东,21:33,643,1293,
G1538,高速,昆明南,8:46,郑州东,当天18:48,18:48,郑州东,18:48,602,1128,CRH380B5788
G1563,高速,北京西,17:36,郑州东,当天20:51,20:51,郑州东,20:51,195,1251,CRH380A2708
G1802,高速,上海虹桥,6:15,郑州东,当天11:44,11:44,郑州东,11:44,329,704,CR400BF5018
G1803,高速,上海虹桥,6:15,郑州东,当天11:44,11:44,郑州东,11:44,329,704,CR400BF5043
G1806,高速,上海虹桥,9:13,郑州东,当天14:04,14:04,郑州东,14:04,291,844,CR400BFA3101
G1814,高速,上海虹桥,14:15,郑州东,当天18:13,18:13,郑州东,18:13,238,1093,
G1818,高速,上海虹桥,14:33,郑州东,当天19:31,19:31,郑州东,19:31,298,1171,
G1819,高速,上海虹桥,14:33,郑州东,当天19:31,19:31,郑州东,19:31,298,1171,
G1826,高速,上海虹桥,18:14,郑州东,当天23:28,23:28,郑州东,23:28,314,1408,CRH380B3590
G1827,高速,上海虹桥,18:14,郑州东,当天23:28,23:28,郑州东,23:28,314,1408,
G1851,高速,青岛北,16:10,郑州东,当天22:49,22:49,郑州东,22:49,399,1369,
G1866,高速,宁波,6:24,郑州东,当天13:54,13:54,郑州东,13:54,450,834,CR400BFA3101
G1867,高速,宁波,6:24,郑州东,当天13:54,13:54,郑州东,13:54,450,834,CR400BFA3101
G1870,高速,杭州,13:49,郑州东,当天19:26,19:26,郑州东,19:26,337,1166,
G1871,高速,杭州,13:49,郑州东,当天19:26,19:26,郑州东,19:26,337,1166,
G1890,高速,杭州,16:53,郑州东,当天21:54,21:54,郑州东,21:54,301,1314,
G1891,高速,杭州,16:53,郑州东,当天21:54,21:54,郑州东,21:54,301,1314,
G1906,高速,福州,15:19,郑州东,当天23:01,23:01,郑州东,23:01,462,1381,
G1962,高速,宁波,14:01,郑州东,当天20:04,20:04,郑州东,20:04,363,1204,
G1963,高速,宁波,14:01,郑州东,当天20:04,20:04,郑州东,20:04,363,1204,CRH380BL3510
G1966,高速,温州南,15:32,郑州东,当天23:22,23:22,郑州东,23:22,470,1402,
G1967,高速,温州南,15:32,郑州东,当天23:22,23:22,郑州东,23:22,470,1402,
G1992,高速,温州南,11:58,郑州东,当天21:28,21:28,郑州东,21:28,570,1288,CRH380B5874
G1993,高速,温州南,11:58,郑州东,当天21:28,21:28,郑州东,21:28,570,1288,
G2002,高速,西安北,8:02,郑州东,当天10:29,10:29,郑州东,10:29,147,629,
G2004,高速,西安北,20:17,郑州东,当天22:14,22:14,郑州东,22:14,117,1334,
G2022,高速,兰州西,14:42,郑州东,当天20:41,20:41,郑州东,20:41,359,1241,CRH380B5787
G2024,高速,兰州西,15:41,郑州东,当天21:02,21:02,郑州东,21:02,321,1262,CRH380B5864
G2026,高速,兰州西,16:21,郑州东,当天21:36,21:36,郑州东,21:36,315,1296,CRH380B5832
G2032,高速,恩施,15:19,郑州东,当天21:44,21:44,郑州东,21:44,385,1304,CRH380B3717
G2044,动车,南昌西,8:55,郑州东,当天14:00,14:00,郑州东,14:00,305,840,
G2046,高速,厦门北,7:07,郑州东,当天17:35,17:35,郑州东,17:35,628,1055,
G2047,高速,厦门北,7:07,郑州东,当天17:35,17:35,郑州东,17:35,628,1055,
G2056,高速,广州南,8:05,郑州东,当天14:13,14:13,郑州东,14:13,368,853,CR400AFA1028
G2069,高速,青岛北,15:00,郑州东,当天21:52,21:52,郑州东,21:52,412,1312,
G2072,高速,青岛北,15:00,郑州东,当天21:52,21:52,郑州东,21:52,412,1312,
G2073,高速,威海,16:06,郑州东,当天23:02,23:02,郑州东,23:02,416,1382,
G2076,高速,威海,16:06,郑州东,当天23:02,23:02,郑州东,23:02,416,1382,CRH380B5735
G2204,高速,成都东,8:08,郑州东,当天14:22,14:22,郑州东,14:22,374,862,CRH380A2764
G2208,高速,成都东,13:40,郑州东,当天19:55,19:55,郑州东,19:55,375,1195,
G2210,高速,成都东,15:22,郑州东,当天21:46,21:46,郑州东,21:46,384,1306,
G2212,高速,成都东,16:46,郑州东,当天22:55,22:55,郑州东,22:55,369,1375,
G2214,高速,成都东,16:00,郑州东,当天21:52,21:52,郑州东,21:52,352,1312,
G2216,高速,重庆西,11:07,郑州东,当天19:23,19:23,郑州东,19:23,496,1163,
G2218,高速,成都东,16:11,郑州东,当天22:09,22:09,郑州东,22:09,358,1329,
G2395,高速,杭州东,13:38,郑州东,当天21:06,21:06,郑州东,21:06,448,1266,
G2398,高速,杭州东,13:38,郑州东,当天21:06,21:06,郑州东,21:06,448,1266,
G3102,高速,南京南,14:12,郑州东,当天18:40,18:40,郑州东,18:40,268,1120,
G3103,高速,南京南,14:12,郑州东,当天18:40,18:40,郑州东,18:40,268,1120,
G3110,高速,杭州,7:16,郑州东,当天13:20,13:20,郑州东,13:20,364,800,CRH380BL3510
G3111,高速,杭州,7:16,郑州东,当天13:20,13:20,郑州东,13:20,364,800,CRH380BL3510
G3122,高速,合肥南,11:00,郑州东,当天14:31,14:31,郑州东,14:31,211,871,
G3124,高速,合肥南,19:03,郑州东,当天22:26,22:26,郑州东,22:26,203,1346,
G3172,高速,宁波,8:05,郑州东,当天15:20,15:20,郑州东,15:20,435,920,CRH380BL3530
