avg_int,avg_spd,ctrl_par,grp_shr,std_spd,str_cst,trl_shr
2.0627500000000003,1.347875,0.5,0.325,0.225,15.625,0.55
1.9817500000000003,1.3696249999999999,0.5,0.325,0.225,31.974999999999998,0.55
2.0177500000000004,1.278875,0.5,0.325,0.225,27.775000000000002,0.55
2.0852500000000003,1.3403749999999999,0.5,0.325,0.225,13.375,0.55
1.9412500000000001,1.250375,0.5,0.325,0.225,32.725,0.55
1.70275,1.288625,0.5,0.325,0.225,33.925000000000004,0.55
1.5542500000000001,1.377125,0.5,0.325,0.225,36.475,0.55
2.1572500000000003,1.257875,0.5,0.325,0.225,33.175,0.55
2.13025,1.262375,0.5,0.325,0.225,22.225,0.55
1.40575,1.2938749999999999,0.5,0.325,0.225,12.925,0.55
1.44625,1.2818749999999999,0.5,0.325,0.225,19.675,0.55
1.3022500000000001,1.279625,0.5,0.325,0.225,32.275,0.55
1.8152500000000003,1.329875,0.5,0.325,0.225,15.475,0.55
2.02225,1.394375,0.5,0.325,0.225,26.425000000000004,0.55
1.5902500000000002,1.332125,0.5,0.325,0.225,11.875,0.55
1.6622500000000002,1.3801249999999998,0.5,0.325,0.225,29.875000000000004,0.55
1.5092500000000002,1.341875,0.5,0.325,0.225,21.625,0.55
2.09875,1.287125,0.5,0.325,0.225,12.775,0.55
1.79725,1.283375,0.5,0.325,0.225,30.175000000000004,0.55
1.36525,1.344875,0.5,0.325,0.225,29.275000000000002,0.55
1.69375,1.360625,0.5,0.325,0.225,12.175,0.55
1.98625,1.269125,0.5,0.325,0.225,34.225,0.55
1.32925,1.255625,0.5,0.325,0.225,21.025,0.55
2.12575,1.3921249999999998,0.5,0.325,0.225,18.924999999999997,0.55
2.10325,1.302875,0.5,0.325,0.225,39.175,0.55
1.3202500000000001,1.362125,0.5,0.325,0.225,19.525,0.55
1.58125,1.267625,0.5,0.325,0.225,15.775,0.55
2.1797500000000003,1.269875,0.5,0.325,0.225,36.175,0.55
1.9142500000000002,1.383125,0.5,0.325,0.225,16.825,0.55
1.9097500000000003,1.364375,0.5,0.325,0.225,23.275,0.55
1.5722500000000001,1.305875,0.5,0.325,0.225,10.525,0.55
1.9772500000000002,1.3163749999999999,0.5,0.325,0.225,16.375,0.55
1.95925,1.281125,0.5,0.325,0.225,14.275,0.55
1.45075,1.260125,0.5,0.325,0.225,39.025000000000006,0.55
1.5137500000000002,1.355375,0.5,0.325,0.225,21.175,0.55
1.96375,1.315625,0.5,0.325,0.225,22.674999999999997,0.55
2.00425,1.333625,0.5,0.325,0.225,37.075,0.55
2.19775,1.326875,0.5,0.325,0.225,24.925,0.55
2.09425,1.266125,0.5,0.325,0.225,28.675,0.55
1.95025,1.285625,0.5,0.325,0.225,28.375,0.55
1.46425,1.310375,0.5,0.325,0.225,18.175,0.55
1.55875,1.331375,0.5,0.325,0.225,34.675,0.55
1.42375,1.272125,0.5,0.325,0.225,25.674999999999997,0.55
2.1077500000000002,1.277375,0.5,0.325,0.225,18.325000000000003,0.55
1.4777500000000001,1.3808749999999999,0.5,0.325,0.225,16.525,0.55
2.03575,1.308875,0.5,0.325,0.225,18.775,0.55
1.5317500000000002,1.356125,0.5,0.325,0.225,27.325,0.55
2.1437500000000003,1.261625,0.5,0.325,0.225,27.624999999999996,0.55
1.33825,1.280375,0.5,0.325,0.225,31.374999999999996,0.55
1.73875,1.3231249999999999,0.5,0.325,0.225,10.375,0.55
1.38325,1.359125,0.5,0.325,0.225,13.075,0.55
1.8467500000000001,1.2586249999999999,0.5,0.325,0.225,33.625,0.55
1.34725,1.3688749999999998,0.5,0.325,0.225,37.975,0.55
1.7837500000000002,1.260875,0.5,0.325,0.225,24.625,0.55
1.37425,1.3171249999999999,0.5,0.325,0.225,29.724999999999998,0.55
2.17075,1.389125,0.5,0.325,0.225,32.575,0.55
1.59925,1.320125,0.5,0.325,0.225,28.075000000000003,0.55
1.33375,1.3343749999999999,0.5,0.325,0.225,20.725,0.55
1.8062500000000001,1.332875,0.5,0.325,0.225,32.875,0.55
1.81075,1.321625,0.5,0.325,0.225,36.775000000000006,0.55
1.7657500000000002,1.3396249999999998,0.5,0.325,0.225,37.375,0.55
1.5947500000000001,1.385375,0.5,0.325,0.225,21.925,0.55
1.6892500000000001,1.382375,0.5,0.325,0.225,19.825000000000003,0.55
1.9007500000000002,1.326125,0.5,0.325,0.225,24.475,0.55
1.89175,1.395875,0.5,0.325,0.225,35.575,0.55
1.8782500000000002,1.266875,0.5,0.325,0.225,39.474999999999994,0.55
1.8827500000000001,1.3456249999999998,0.5,0.325,0.225,14.875,0.55
1.85575,1.274375,0.5,0.325,0.225,18.625,0.55
1.9727500000000002,1.257125,0.5,0.325,0.225,16.675,0.55
1.44175,1.290125,0.5,0.325,0.225,36.025,0.55
1.7432500000000002,1.396625,0.5,0.325,0.225,38.575,0.55
1.5677500000000002,1.317875,0.5,0.325,0.225,20.875,0.55
1.8872500000000003,1.307375,0.5,0.325,0.225,26.575,0.55
2.1122500000000004,1.3583749999999999,0.5,0.325,0.225,37.825,0.55
2.15275,1.289375,0.5,0.325,0.225,27.025000000000002,0.55
1.40125,1.337375,0.5,0.325,0.225,17.875,0.55
1.65775,1.3516249999999999,0.5,0.325,0.225,26.875,0.55
1.62175,1.314875,0.5,0.325,0.225,14.575,0.55
2.08075,1.350125,0.5,0.325,0.225,10.675,0.55
1.35625,1.265375,0.5,0.325,0.225,28.224999999999998,0.55
1.6847500000000002,1.3981249999999998,0.5,0.325,0.225,34.075,0.55
1.48675,1.370375,0.5,0.325,0.225,19.375,0.55
1.65325,1.276625,0.5,0.325,0.225,13.225,0.55
1.9997500000000001,1.384625,0.5,0.325,0.225,31.825000000000003,0.55
1.8422500000000002,1.319375,0.5,0.325,0.225,14.425,0.55
1.90525,1.254875,0.5,0.325,0.225,16.975,0.55
1.71625,1.256375,0.5,0.325,0.225,23.125,0.55
1.3607500000000001,1.296125,0.5,0.325,0.225,39.325,0.55
2.17525,1.390625,0.5,0.325,0.225,28.975,0.55
2.19325,1.3051249999999999,0.5,0.325,0.225,21.475,0.55
1.4957500000000001,1.399625,0.5,0.325,0.225,28.525,0.55
2.00875,1.376375,0.5,0.325,0.225,20.275,0.55
1.42825,1.286375,0.5,0.325,0.225,35.875,0.55
1.52275,1.275125,0.5,0.325,0.225,34.975,0.55
1.63975,1.254125,0.5,0.325,0.225,39.775,0.55
1.6082500000000002,1.353875,0.5,0.325,0.225,22.075000000000003,0.55
1.6487500000000002,1.395125,0.5,0.325,0.225,33.025000000000006,0.55
